sc	rl	cl	kl	rh	ch	kh
3003	30.07	164.03	85.73	8	5	4
3004	72.89	201.59	142.37	15	5	5
3005	13.25	187.71	130.57	5	5	4
3006	63.42	305.38	73.92	17	8	3
3007	54.52	150.36	151.38	13	5	4
3008	37.38	191.7	172.02	11	5	5
3009	21.07	106.43	48.19	10	5	3
3010	58.02	196.1	189.24	10	6	5
3011	27.23	270.31	237.61	8	7	7
3012	60.61	132.05	288.95	10	4	6
3013	65.27	232.43	174.71	15	5	5
3014	68.93	247.17	68.93	15	8	2
3015	60.32	210.1	121.62	11	7	4
3016	47.35	181.43	108.89	12	7	4
3017	68.19	285.93	313.81	18	7	7
3018	17.08	338.66	122.82	10	9	3
3019	50.77	345.59	180.09	14	7	5
3020	39.88	169.98	181.78	8	5	8
3021	34.84	300.1	34.84	12	8	2
3022	5.1	287.76	166.46	4	7	5
3023	61.1	125.78	115.62	12	4	5
3024	23.51	153.51	138.99	8	5	4
3025	52.54	396.62	60.42	11	9	3
3026	51.69	180.85	150.99	13	5	4
3027	41.07	300.79	95.35	13	8	3
3028	71.1	143.84	72.86	14	4	3
3029	36.01	234.43	234.97	9	6	6
3030	54.99	259.67	219.49	14	9	6
3031	40.52	206.36	40.52	12	8	2
3032	40.29	248.39	123.59	8	6	4
3033	20.43	133.61	120.17	10	5	3
3034	51.91	204.51	164.67	14	4	4
3035	68.29	361.29	289.11	12	8	6
3036	75.28	345.46	111.86	14	8	4
3037	26.28	313.8	102.36	8	8	4
3038	36.15	365.67	135.51	11	9	4
3039	48.84	213.24	91.18	12	7	3
3040	41.2	174.36	109.3	11	5	4
3041	40.78	178.12	215.02	14	6	5
3042	21.36	236.44	101.24	10	7	3
3043	60.27	306.57	88.25	10	7	3
3044	7.48	312.5	231.88	5	8	6
3045	68.61	294.69	74.39	14	7	3
3046	49.72	146.1	53.42	13	5	3
3047	56.95	183.11	56.95	9	5	3
3048	49.33	103.41	52.57	10	4	3
3049	59.26	226.7	210.08	16	6	5
3050	19.65	127.01	136.71	8	5	3
3051	55.59	332.85	55.59	11	8	2
3052	30.43	108.97	70.87	11	6	3
3053	32.0	194.92	83.92	9	6	4
3054	35.35	155.17	236.35	8	6	7
3055	20.46	36.64	22.12	9	3	3
3056	37.13	266.27	37.13	10	6	2
3057	27.93	169.99	137.59	10	4	5
3058	29.59	314.05	268.85	9	8	8
3059	55.01	287.81	94.25	11	6	3
3060	33.68	187.2	43.08	8	6	3
