sc	rl	cl	kl	rh	ch	kh
530	67.98	263.84	123.84	14	6	3
531	3.8	320.62	132.68	5	8	4
532	49.16	382.04	62.16	12	9	3
533	41.31	323.55	41.31	12	8	2
534	23.39	119.13	35.91	8	4	3
535	45.37	102.55	64.63	10	4	3
536	60.81	279.57	69.99	13	6	3
537	61.66	70.98	74.66	13	4	3
538	21.91	242.17	24.31	8	6	3
539	70.15	93.91	94.13	14	4	3
540	57.23	410.87	476.07	16	10	11
541	61.5	315.4	414.02	15	7	10
542	38.34	291.48	78.8	11	8	3
543	39.83	113.69	938.51	13	4	24
544	7.84	218.06	60.52	5	5	4
545	78.37	309.13	117.75	16	8	4
546	54.08	252.36	110.24	11	6	4
547	60.5	227.26	73.5	14	6	3
548	59.52	458.36	238.9	11	10	5
549	30.39	204.71	312.11	10	6	9
550	40.34	278.56	774.5	11	6	19
551	59.67	307.39	70.85	13	7	3
552	52.64	183.04	71.72	12	7	3
553	33.3	146.44	182.18	12	5	5
554	28.28	256.64	151.38	11	7	5
555	55.87	199.17	55.87	10	6	2
556	66.44	202.74	176.92	15	7	5
557	39.84	109.56	313.2	7	4	10
558	57.65	349.75	57.65	12	8	2
559	54.42	330.1	54.42	13	9	2
560	42.65	173.53	482.99	10	6	10
561	35.35	161.49	178.13	10	5	5
562	35.41	91.57	238.07	14	4	9
563	50.17	343.13	50.17	12	8	2
564	31.13	151.61	217.91	11	5	6
565	21.55	184.09	21.55	7	6	2
566	62.16	202.6	144.06	16	6	5
567	38.53	207.49	131.55	8	6	4
568	46.09	293.17	52.27	12	8	3
569	54.63	367.39	246.15	13	8	6
570	69.92	181.7	124.62	11	6	3
571	50.29	140.27	95.31	12	5	4
572	67.76	263.38	263.68	12	8	6
573	62.04	163.86	163.36	13	6	4
574	23.59	189.17	35.89	7	7	3
575	66.88	200.16	335.66	15	5	10
576	62.09	195.35	185.61	12	5	4
577	27.64	261.5	282.74	8	7	11
578	58.1	257.84	289.28	11	7	9
579	55.34	173.9	450.48	17	5	13
580	53.01	112.97	712.67	15	5	13
581	17.78	225.54	17.78	10	4	2
