cycle	rlat	clat	klat	rhop	chop	khop	hopcat	latcat
1172	8.72	8.72	8.72	3	2	2	2	1
1173	9.32	38.32	9.32	3	4	2	2	1
1174	50.89	50.89	50.89	7	2	2	1	3
1175	19.67	19.67	19.67	4	2	2	3	2
1176	21.06	48.88	21.06	4	3	2	2	2
1177	20.97	38.41	20.97	4	3	2	3	2
1178	24.61	24.61	24.61	5	2	2	3	2
1179	3.55	98.23	3.55	2	3	2	1	1
1180	8.72	8.72	8.72	3	2	2	2	1
1181	11.74	58.2	11.74	2	4	2	3	1
1182	16.82	35.46	16.82	3	3	2	3	1
1183	30.73	104.71	30.73	5	4	2	1	2
1184	20.97	38.41	20.97	4	3	2	3	2
1185	15.89	33.33	15.89	3	3	2	2	1
1186	23.23	23.23	23.23	5	2	2	2	2
1187	42.17	42.17	42.17	5	2	2	2	3
1188	20.97	66.91	20.97	4	3	2	3	2
1189	15.05	47.41	15.05	2	4	2	2	1
1190	11.74	20.04	11.74	2	3	2	3	1
1191	31.23	31.23	31.23	4	2	2	3	2
1192	23.23	78.57	23.23	5	3	2	2	2
1193	19.67	19.67	19.67	4	2	2	3	2
1194	27.67	56.67	27.67	3	3	2	3	2
1195	49.76	56.88	49.76	5	3	2	3	3
1196	29.69	29.69	29.69	6	2	2	2	2
1197	5.08	5.08	5.08	2	2	2	2	1
1198	15.89	33.33	15.89	3	3	2	2	1
1199	23.22	46.7	23.22	5	3	2	3	2
1200	50.89	50.89	50.89	7	2	2	1	3
1201	16.82	35.46	16.82	3	3	2	3	1
1202	27.67	34.79	27.67	3	3	2	3	2
1203	23.23	23.23	23.23	5	2	2	2	2
1204	4.15	4.15	4.15	2	2	2	1	1
1205	31.23	31.23	31.23	4	2	2	3	2
1206	3.55	3.55	3.55	2	2	2	1	1
1207	16.18	16.18	16.18	3	3	2	2	1
1208	24.61	24.61	24.61	5	2	2	3	2
1209	32.29	32.29	32.29	5	3	2	3	2
1210	4.15	4.15	4.15	2	2	2	1	1
1211	26.14	33.24	26.14	5	3	2	1	2
1212	21.06	48.88	21.06	4	3	2	2	2
1213	3.55	3.55	3.55	2	2	2	1	1
1214	24.61	24.61	24.61	5	2	2	3	2
1215	4.15	4.15	4.15	2	2	2	1	1
1216	27.67	34.79	27.67	3	3	2	3	2
1217	27.17	45.81	27.17	4	3	2	2	2
1218	22.97	31.27	22.97	3	3	2	2	2
1219	49.76	56.88	49.76	5	3	2	3	3
1220	27.12	27.12	27.12	4	2	2	1	2
1221	29.69	29.69	29.69	6	2	2	2	2
1222	34.71	34.71	34.71	4	2	2	2	3
1223	30.73	30.73	30.73	5	2	2	1	2
1224	3.56	3.56	3.56	2	2	2	2	1
1225	47.34	47.34	47.34	6	2	2	2	3
1226	35.84	59.32	35.84	6	3	2	3	3
1227	21.06	28.16	21.06	4	3	2	2	2
1228	18.06	18.06	18.06	4	2	2	3	2
1229	9.32	9.32	9.32	3	2	2	2	1
1230	3.55	3.55	3.55	2	2	2	1	1
1231	8.72	8.72	8.72	3	2	2	2	1
1232	5.08	5.08	5.08	2	2	2	2	1
1233	19.67	19.67	19.67	4	2	2	3	2
1234	35.84	59.32	35.84	6	3	2	3	3
1235	12.62	12.62	12.62	2	2	2	1	1
1236	42.17	42.17	42.17	5	2	2	2	3
1237	10.35	28.99	10.35	2	3	2	2	1
1238	23.23	23.23	23.23	5	2	2	2	2
1239	18.06	18.06	18.06	4	2	2	3	2
1240	14.5	55.42	14.5	3	4	2	2	1
1241	42.17	42.17	42.17	5	2	2	2	3
1242	8.72	8.72	8.72	3	2	2	2	1
1243	12.87	12.87	12.87	4	2	2	2	1
1244	9.32	9.32	9.32	3	2	2	2	1
1245	5.17	12.27	5.17	2	3	2	3	1
1246	19.67	19.67	19.67	4	2	2	3	2
1247	15.89	15.89	15.89	3	2	2	2	1
1248	13.91	32.55	13.91	3	3	2	3	1
1249	23.22	46.7	23.22	5	3	2	3	2
1250	47.34	47.34	47.34	6	2	2	2	3
1251	22.97	41.61	22.97	3	4	2	2	2
1252	27.12	68.04	27.12	4	4	2	1	2
1253	47.34	47.34	47.34	6	2	2	2	3
1254	31.23	31.23	31.23	4	2	2	3	2
1255	13.91	32.55	13.91	3	3	2	3	1
1256	39.79	39.79	39.79	5	2	2	3	3
1257	39.79	39.79	39.79	5	2	2	3	3
1258	3.55	98.23	3.55	2	3	2	1	1
1259	5.08	54.3	5.08	2	3	2	2	1
1260	15.05	47.41	15.05	2	4	2	2	1
